URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.google.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<span class="Q8LRLc">الإمارات العربية المتحدة</span>,Element has insufficient color contrast of 4.46 (foreground color: #6f6f6f- background color: #f2f2f2- font size: 11.3pt- font weight: normal). Expected contrast ratio of 4.5:1,.b0KoTc > span.Q8LRLc
https://www.google.com/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=axeAPI,<html dir="rtl" itemscope="" itemtype="http://schema.org/WebPage" lang="ar-AE">,,html
